u,v,L
478.17522455533924,-58.4678796485316,10
482.1829874119115,-59.06904407701742,10
485.26138720791073,-59.5308040464173,10
487.60399287255143,-59.88219489611341,10
489.3714652086058,-60.14731574652157,10
490.69443423448587,-60.34576110040358,10
491.67731496912353,-60.49319321059923,10
492.4023716508758,-60.60195171286207,10
492.9336140161109,-60.681638067647334,10
493.32030457063263,-60.739641650825604,10
493.5999849516768,-60.781593707982225,10
493.8010087168157,-60.81174727275307,10
493.9446122490256,-60.83328780258456,10
-51.11167834638934,-120.36123441929988,20
-51.091984171499014,-120.13859434107552,20
-51.064658686978966,-119.858367363451,20
-51.0281495748353,-119.5036968074905,20
-50.980294492196165,-119.05207742777299,20
-50.91812717630872,-118.47335445729789,20
-50.83760782371098,-117.7270205605199,20
-50.73325476402456,-116.75861237496751,20
-50.5976519348994,-115.49501521101153,20
-50.420810913464315,-113.83857973403661,20
-50.189387067074314,-111.66024589648435,20
-49.885805122884776,-108.79254779762697,20
-49.48746993122515,-105.02472629298663,20
-48.96646020249825,-100.1045093822764,20
-48.29044075137558,-93.75439829151013,20
-47.42588860046197,-85.71322676693049,20
-46.3447559895943,-75.81234190910847,20
-45.03468555175668,-64.08292136140807,20
-43.51021688311588,-50.86191316591137,20
-41.81889589532406,-36.83078775337632,20
-40.03532205943426,-22.921789439331146,20
-38.24172423247558,-10.093962032723812,20
-36.503308810348926,0.920092150827474,20
-34.85112523241514,9.764643241039082,20
-33.279323407584315,16.452784159510266,20
-31.753793572617116,21.247963568954585,20
-30.224427148696563,24.52214834210664,20
-28.635026985623966,26.649309474512638,20
-26.928837605937215,27.948791046002903,20
-25.050294854153968,28.667296313683725,20
-22.944384304872592,28.982541906706928,20
-20.554781119350693,29.015626728102028,20
-17.82147813397013,28.84477737192118,20
-14.678229866449627,28.517247371003037,20
-11.049911668828965,28.05845183428848,20
-6.8497815712046854,27.47846837234829,20
-1.9765925120961443,26.776396441021838,20
3.688495681504991,25.94311070629359,20
10.285226384344329,24.96286882410479,20
17.97774691887862,23.814133710632376,20
26.95818584704081,22.46988343026213,20
37.45007026654365,20.897621161619373,20
49.71117098339818,19.059265703872462,20
64.03512116090005,16.911098258454903,20
80.75083725176447,14.403960801302167,20
100.21838833339177,11.483940267418829,20
122.8195544163517,8.093821640081902,20
148.94098898199152,4.1756342595268165,20
178.9478478956115,-0.32538107045763764,20
213.14626297873644,-5.4551368856767555,20
251.73449646644232,-11.243368887996878,20
294.7453357010555,-17.694993385370406,20
341.98628899393975,-24.781135754921767,20
392.98876058441584,-32.4315062187702,20
446.98099565273526,-40.53034136096906,20
502.8998003817659,-48.91816202085203,20
559.4506838950326,-57.400794527647896,20
615.2148633851558,-65.76542144314574,20
668.7874780173729,-73.80131363488118,20
718.9200670343789,-81.3212019862698,20
764.6374732761041,-88.17881292210473,20
805.3067360780964,-94.27920234225336,20
840.6499651204364,-99.58068669855257,20
870.7082000907988,-104.08942194408954,20
895.7731542926721,-107.84916507436485,20
916.3063231422568,-110.92914040180075,20
932.8616042794603,-113.4124325723807,20
946.0214440334115,-115.38640853547322,20
956.350449110678,-116.93575929706314,20
964.3659748238225,-118.1380881540348,20
970.5227744158209,-119.06160809283456,20
975.2079857451023,-119.76438979222677,20
978.742930417211,-120.29463149304308,20
981.3888684689714,-120.69152220080711,20
983.3546299382466,-120.9863864211984,20
984.8047433017512,-121.20390342572409,20
985.8672280322213,-121.36327613529461,20
986.6406091412648,-121.47928330165115,20
987.1999699033531,-121.5631874159644,20
987.6020174336311,-121.62349454550608,20
987.8892244980509,-121.66657560516906,20
-76.66751751958401,-180.54185162894981,30
-76.6379762572485,-180.20789151161318,30
-76.59698803046845,-179.78755104517649,30
-76.54222436225295,-179.25554521123576,30
-76.47044173829427,-178.57811614165954,30
-76.37719076446308,-177.71003168594683,30
-76.25641173556647,-176.59053084077985,30
-76.09988214603685,-175.13791856245126,30
-75.8964779023491,-173.24252281651732,30
-75.63121637019647,-170.75786960105492,30
-75.28408060061146,-167.49036884472653,30
-74.82870768432716,-163.18882169644044,30
-74.23120489683772,-157.53708943947993,30
-73.44969030374737,-150.15676407341462,30
-72.43566112706337,-140.63159743726519,30
-71.13883290069295,-128.56984015039575,30
-69.51713398439145,-113.71851286366271,30
-67.55202832763501,-96.1243820421121,30
-65.26532532467382,-76.29286974886705,30
-62.72834384298609,-55.246181630064484,30
-60.052983089151375,-34.382684158996696,30
-57.36258634871336,-15.140943049085699,30
-54.7549632155234,1.3801382262412325,30
-52.27668784862269,14.646964861558615,30
-49.91898511137647,24.6791762392654,30
-47.63069035892568,31.87194535343188,30
-45.336640723044816,36.783222513159984,30
-42.95254047843594,39.97396421176896,30
-40.39325640890582,41.92318656900435,30
-37.57544228123095,43.00094447052558,30
-34.41657645730889,43.47381286006039,30
-30.832171679026033,43.523440092153045,30
-26.73221720095519,43.267166057881724,30
-22.01734479967443,42.775871056504556,30
-16.57486750324345,42.08767775143272,30
-10.274672356807029,41.21770255852243,30
